Relatório - Faturamento
Data - 2025-07-05T16:38:30.223941100
Ciclo - Especial 2022

68697eb1bec2e51631467c82#Cliente 0#CTN0#1900/01/01
68697eb1bec2e51631467c83#Cliente 1#CTN1#1901/01/01
68697eb1bec2e51631467c84#Cliente 2#CTN2#1902/01/01
68697eb1bec2e51631467c85#Cliente 3#CTN3#1903/01/01
68697eb1bec2e51631467c86#Cliente 4#CTN4#1904/01/01
68697eb1bec2e51631467c87#Cliente 5#CTN5#1905/01/01
68697eb1bec2e51631467c88#Cliente 6#CTN6#1906/01/01
68697eb1bec2e51631467c89#Cliente 7#CTN7#1907/01/01
68697eb1bec2e51631467c8a#Cliente 8#CTN8#1908/01/01
68697eb1bec2e51631467c8b#Cliente 9#CTN9#1909/01/01
68697eb1bec2e51631467c8c#Cliente 10#CTN10#1910/01/01
68697eb1bec2e51631467c8d#Cliente 11#CTN11#1911/01/01
68697eb1bec2e51631467c8e#Cliente 12#CTN12#1912/01/01
68697eb1bec2e51631467c8f#Cliente 13#CTN13#1913/01/01
68697eb1bec2e51631467c90#Cliente 14#CTN14#1914/01/01
68697eb1bec2e51631467c91#Cliente 15#CTN15#1915/01/01
68697eb1bec2e51631467c92#Cliente 16#CTN16#1916/01/01
68697eb1bec2e51631467c93#Cliente 17#CTN17#1917/01/01
68697eb1bec2e51631467c94#Cliente 18#CTN18#1918/01/01
68697eb1bec2e51631467c95#Cliente 19#CTN19#1919/01/01
68697eb1bec2e51631467c96#Cliente 20#CTN20#1920/01/01
68697eb1bec2e51631467c97#Cliente 21#CTN21#1921/01/01
68697eb1bec2e51631467c98#Cliente 22#CTN22#1922/01/01
68697eb1bec2e51631467c99#Cliente 23#CTN23#1923/01/01
68697eb1bec2e51631467c9a#Cliente 24#CTN24#1924/01/01
68697eb1bec2e51631467c9b#Cliente 25#CTN25#1925/01/01
68697eb1bec2e51631467c9c#Cliente 26#CTN26#1926/01/01
68697eb1bec2e51631467c9d#Cliente 27#CTN27#1927/01/01
68697eb1bec2e51631467c9e#Cliente 28#CTN28#1928/01/01
68697eb1bec2e51631467c9f#Cliente 29#CTN29#1929/01/01
68697eb1bec2e51631467ca0#Cliente 30#CTN30#1930/01/01
68697eb1bec2e51631467ca1#Cliente 31#CTN31#1931/01/01
68697eb1bec2e51631467ca2#Cliente 32#CTN32#1932/01/01
68697eb1bec2e51631467ca3#Cliente 33#CTN33#1933/01/01
68697eb1bec2e51631467ca4#Cliente 34#CTN34#1934/01/01
68697eb1bec2e51631467ca5#Cliente 35#CTN35#1935/01/01
68697eb1bec2e51631467ca6#Cliente 36#CTN36#1936/01/01
68697eb1bec2e51631467ca7#Cliente 37#CTN37#1937/01/01
68697eb1bec2e51631467ca8#Cliente 38#CTN38#1938/01/01
68697eb1bec2e51631467ca9#Cliente 39#CTN39#1939/01/01
68697eb1bec2e51631467caa#Cliente 40#CTN40#1940/01/01
68697eb1bec2e51631467cab#Cliente 41#CTN41#1941/01/01
68697eb1bec2e51631467cac#Cliente 42#CTN42#1942/01/01
68697eb1bec2e51631467cad#Cliente 43#CTN43#1943/01/01
68697eb1bec2e51631467cae#Cliente 44#CTN44#1944/01/01
68697eb1bec2e51631467caf#Cliente 45#CTN45#1945/01/01
68697eb1bec2e51631467cb0#Cliente 46#CTN46#1946/01/01
68697eb1bec2e51631467cb1#Cliente 47#CTN47#1947/01/01
68697eb1bec2e51631467cb2#Cliente 48#CTN48#1948/01/01
68697eb1bec2e51631467cb3#Cliente 49#CTN49#1949/01/01
68697eb1bec2e51631467cb4#Cliente 50#CTN50#1950/01/01
68697eb1bec2e51631467cb5#Cliente 51#CTN51#1951/01/01
68697eb1bec2e51631467cb6#Cliente 52#CTN52#1952/01/01
68697eb1bec2e51631467cb7#Cliente 53#CTN53#1953/01/01
68697eb1bec2e51631467cb8#Cliente 54#CTN54#1954/01/01
68697eb1bec2e51631467cb9#Cliente 55#CTN55#1955/01/01
68697eb1bec2e51631467cba#Cliente 56#CTN56#1956/01/01
68697eb1bec2e51631467cbb#Cliente 57#CTN57#1957/01/01
68697eb1bec2e51631467cbc#Cliente 58#CTN58#1958/01/01
68697eb1bec2e51631467cbd#Cliente 59#CTN59#1959/01/01
68697eb1bec2e51631467cbe#Cliente 60#CTN60#1960/01/01
68697eb1bec2e51631467cbf#Cliente 61#CTN61#1961/01/01
68697eb1bec2e51631467cc0#Cliente 62#CTN62#1962/01/01
68697eb1bec2e51631467cc1#Cliente 63#CTN63#1963/01/01
68697eb1bec2e51631467cc2#Cliente 64#CTN64#1964/01/01
68697eb1bec2e51631467cc3#Cliente 65#CTN65#1965/01/01
68697eb1bec2e51631467cc4#Cliente 66#CTN66#1966/01/01
68697eb1bec2e51631467cc5#Cliente 67#CTN67#1967/01/01
68697eb1bec2e51631467cc6#Cliente 68#CTN68#1968/01/01
68697eb1bec2e51631467cc7#Cliente 69#CTN69#1969/01/01
68697eb1bec2e51631467cc8#Cliente 70#CTN70#1970/01/01
68697eb1bec2e51631467cc9#Cliente 71#CTN71#1971/01/01
68697eb1bec2e51631467cca#Cliente 72#CTN72#1972/01/01
68697eb1bec2e51631467ccb#Cliente 73#CTN73#1973/01/01
68697eb1bec2e51631467ccc#Cliente 74#CTN74#1974/01/01
68697eb1bec2e51631467ccd#Cliente 75#CTN75#1975/01/01
68697eb1bec2e51631467cce#Cliente 76#CTN76#1976/01/01
68697eb1bec2e51631467ccf#Cliente 77#CTN77#1977/01/01
68697eb1bec2e51631467cd0#Cliente 78#CTN78#1978/01/01
68697eb1bec2e51631467cd1#Cliente 79#CTN79#1979/01/01
68697eb1bec2e51631467cd2#Cliente 80#CTN80#1980/01/01
