Relatório - Faturamento
Data - 2025-07-06T12:25:26.108847100
Ciclo - Especial 2022

Pessoa - Física
686a90cebc1f24c2946cd0a0#Cliente 0#CTN957703#1900/01/01
686a90cebc1f24c2946cd0a3#Cliente 3#CTN306999#1903/01/01
686a90cebc1f24c2946cd0a5#Cliente 5#CTN393362#1905/01/01
686a90cebc1f24c2946cd0a6#Cliente 6#CTN569893#1906/01/01
686a90cebc1f24c2946cd0ab#Cliente 11#CTN775688#1911/01/01
686a90cebc1f24c2946cd0ad#Cliente 13#CTN952493#1913/01/01
686a90cebc1f24c2946cd0b1#Cliente 17#CTN451762#1917/01/01
686a90cebc1f24c2946cd0b2#Cliente 18#CTN437643#1918/01/01
686a90cebc1f24c2946cd0ba#Cliente 26#CTN151056#1926/01/01
686a90cebc1f24c2946cd0bb#Cliente 27#CTN529427#1927/01/01
686a90cebc1f24c2946cd0bc#Cliente 28#CTN200769#1928/01/01
686a90cebc1f24c2946cd0be#Cliente 30#CTN858957#1930/01/01
686a90cebc1f24c2946cd0bf#Cliente 31#CTN277092#1931/01/01
686a90cebc1f24c2946cd0c6#Cliente 38#CTN915844#1938/01/01
686a90cebc1f24c2946cd0ca#Cliente 42#CTN899826#1942/01/01
686a90cebc1f24c2946cd0cc#Cliente 44#CTN160009#1944/01/01
686a90cebc1f24c2946cd0ce#Cliente 46#CTN696670#1946/01/01
686a90cebc1f24c2946cd0d3#Cliente 51#CTN862798#1951/01/01
686a90cebc1f24c2946cd0d4#Cliente 52#CTN252492#1952/01/01
686a90cebc1f24c2946cd0d9#Cliente 57#CTN922611#1957/01/01
686a90cebc1f24c2946cd0da#Cliente 58#CTN640075#1958/01/01
686a90cebc1f24c2946cd0db#Cliente 59#CTN764721#1959/01/01
686a90cebc1f24c2946cd0dd#Cliente 61#CTN662010#1961/01/01
686a90cebc1f24c2946cd0df#Cliente 63#CTN101889#1963/01/01
686a90cebc1f24c2946cd0e1#Cliente 65#CTN590713#1965/01/01
686a90cebc1f24c2946cd0e2#Cliente 66#CTN259052#1966/01/01
686a90cebc1f24c2946cd0e3#Cliente 67#CTN163216#1967/01/01
686a90cebc1f24c2946cd0e7#Cliente 71#CTN115688#1971/01/01
686a90cebc1f24c2946cd0ee#Cliente 78#CTN360191#1978/01/01
686a90cebc1f24c2946cd0f8#Cliente 88#CTN781396#1988/01/01
686a90cebc1f24c2946cd0fd#Cliente 93#CTN735202#1993/01/01
686a90cebc1f24c2946cd0ff#Cliente 95#CTN495789#1995/01/01

Pessoa - Inativa
686a90cebc1f24c2946cd0a4#Cliente 4#CTN437418#1904/01/01
686a90cebc1f24c2946cd0a7#Cliente 7#CTN300348#1907/01/01
686a90cebc1f24c2946cd0a9#Cliente 9#CTN170008#1909/01/01
686a90cebc1f24c2946cd0aa#Cliente 10#CTN653488#1910/01/01
686a90cebc1f24c2946cd0ac#Cliente 12#CTN916990#1912/01/01
686a90cebc1f24c2946cd0b0#Cliente 16#CTN340720#1916/01/01
686a90cebc1f24c2946cd0b3#Cliente 19#CTN493894#1919/01/01
686a90cebc1f24c2946cd0b4#Cliente 20#CTN410510#1920/01/01
686a90cebc1f24c2946cd0b7#Cliente 23#CTN521280#1923/01/01
686a90cebc1f24c2946cd0b8#Cliente 24#CTN826739#1924/01/01
686a90cebc1f24c2946cd0b9#Cliente 25#CTN688829#1925/01/01
686a90cebc1f24c2946cd0bd#Cliente 29#CTN801928#1929/01/01
686a90cebc1f24c2946cd0c0#Cliente 32#CTN760263#1932/01/01
686a90cebc1f24c2946cd0c2#Cliente 34#CTN462237#1934/01/01
686a90cebc1f24c2946cd0c3#Cliente 35#CTN592690#1935/01/01
686a90cebc1f24c2946cd0c4#Cliente 36#CTN522973#1936/01/01
686a90cebc1f24c2946cd0c7#Cliente 39#CTN372086#1939/01/01
686a90cebc1f24c2946cd0d1#Cliente 49#CTN594562#1949/01/01
686a90cebc1f24c2946cd0d2#Cliente 50#CTN132876#1950/01/01
686a90cebc1f24c2946cd0d5#Cliente 53#CTN481963#1953/01/01
686a90cebc1f24c2946cd0d6#Cliente 54#CTN628425#1954/01/01
686a90cebc1f24c2946cd0d7#Cliente 55#CTN235154#1955/01/01
686a90cebc1f24c2946cd0d8#Cliente 56#CTN661171#1956/01/01
686a90cebc1f24c2946cd0e0#Cliente 64#CTN708017#1964/01/01
686a90cebc1f24c2946cd0e5#Cliente 69#CTN843045#1969/01/01
686a90cebc1f24c2946cd0eb#Cliente 75#CTN992461#1975/01/01
686a90cebc1f24c2946cd0ed#Cliente 77#CTN512153#1977/01/01
686a90cebc1f24c2946cd0f0#Cliente 80#CTN190731#1980/01/01
686a90cebc1f24c2946cd0f1#Cliente 81#CTN139595#1981/01/01
686a90cebc1f24c2946cd0f3#Cliente 83#CTN142314#1983/01/01
686a90cebc1f24c2946cd0f4#Cliente 84#CTN990678#1984/01/01
686a90cebc1f24c2946cd0f5#Cliente 85#CTN258591#1985/01/01
686a90cebc1f24c2946cd0f7#Cliente 87#CTN801196#1987/01/01
686a90cebc1f24c2946cd0fb#Cliente 91#CTN868363#1991/01/01
686a90cebc1f24c2946cd0fc#Cliente 92#CTN803017#1992/01/01
686a90cebc1f24c2946cd0fe#Cliente 94#CTN768471#1994/01/01
686a90cebc1f24c2946cd100#Cliente 96#CTN334051#1996/01/01
686a90cebc1f24c2946cd102#Cliente 98#CTN141454#1998/01/01
